# Current [A], Field [T]
9.006320284697509351e+02,3.323052860857628743e-01
9.106405693950179057e+02,3.360062644393470577e-01
9.206491103202847626e+02,3.397072340406367408e-01
9.306576512455516195e+02,3.434082256139560085e-01
9.406661921708185901e+02,3.471092485180733989e-01
9.506747330960854470e+02,3.508101891049505983e-01
9.606832740213524175e+02,3.545112688549432733e-01
9.706918149466192745e+02,3.582122943540543836e-01
9.807003558718862450e+02,3.619132891713737199e-01
9.907088967971531019e+02,3.656143321613156139e-01
1.000717437722419959e+03,3.693153914807101867e-01
1.010725978647686929e+03,3.730164087626905434e-01
1.020734519572953786e+03,3.767172965237421955e-01
1.030743060498220757e+03,3.804181389385667966e-01
1.040751601423487500e+03,3.841189424265126773e-01
1.050760142348754471e+03,3.878197282614960772e-01
1.060768683274021441e+03,3.915205134167064061e-01
1.070777224199288412e+03,3.952212976063043670e-01
1.080785765124555382e+03,3.989220642339886824e-01
1.090794306049822126e+03,4.026227383055129838e-01
1.100802846975089096e+03,4.063234537151723114e-01
1.110811387900355840e+03,4.100240554460155007e-01
1.120819928825622810e+03,4.137246536221382831e-01
1.130828469750889781e+03,4.174253094005359599e-01
1.140837010676156751e+03,4.211260486110952050e-01
1.150845551601423722e+03,4.248267085040208779e-01
1.160854092526690465e+03,4.285274915790286410e-01
1.170862633451957436e+03,4.322282497303890358e-01
1.180871174377224179e+03,4.359288800637182715e-01
1.190879715302491149e+03,4.396295444468336644e-01
1.200888256227758120e+03,4.433303250328868295e-01
1.210896797153025091e+03,4.470310399242625743e-01
1.220905338078291834e+03,4.507318128793784129e-01
1.230913879003558804e+03,4.544325508289006055e-01
1.240922419928825775e+03,4.581334238617240651e-01
1.250930960854092518e+03,4.618341390712131234e-01
1.260939501779359489e+03,4.655350021424438101e-01
1.270948042704626459e+03,4.692357960873180245e-01
1.280956583629893430e+03,4.729365564281586831e-01
1.290965124555160173e+03,4.766373611186578430e-01
1.300973665480427144e+03,4.803381028474350001e-01
1.310982206405694114e+03,4.840388292875649201e-01
1.320990747330960858e+03,4.877395447905381598e-01
1.330999288256227828e+03,4.914402443706779033e-01
1.341007829181494799e+03,4.951409768265385702e-01
1.351016370106761769e+03,4.988416647855471453e-01
1.361024911032028513e+03,5.025422959123012623e-01
1.371033451957295483e+03,5.062428780829538733e-01
1.381041992882562454e+03,5.099433556335342121e-01
1.391050533807829197e+03,5.136439093857217975e-01
1.401059074733096168e+03,5.173443912001107758e-01
1.411067615658363138e+03,5.210449643590295832e-01
1.421076156583630109e+03,5.247454695693224425e-01
1.431084697508896852e+03,5.284458944992024287e-01
1.441093238434163823e+03,5.321463679611473374e-01
1.451101779359430793e+03,5.358467760775428301e-01
1.461110320284697536e+03,5.395469717394651976e-01
1.471118861209964507e+03,5.432472982787485138e-01
1.481127402135231478e+03,5.469476147248936160e-01
1.491135943060498448e+03,5.506478860748243997e-01
1.501144483985765191e+03,5.543481817506262788e-01
1.511153024911032162e+03,5.580484946489778775e-01
1.521161565836299133e+03,5.617486994087379504e-01
1.531170106761565876e+03,5.654488609384401565e-01
1.541178647686832846e+03,5.691489968369565222e-01
1.551187188612099817e+03,5.728490468781953782e-01
1.561195729537366788e+03,5.765491540433449469e-01
1.571204270462633531e+03,5.802492618906696098e-01
1.581212811387900501e+03,5.839494094073719443e-01
1.591221352313167472e+03,5.876494342361793244e-01
1.601229893238434215e+03,5.913495222691568243e-01
1.611238434163701186e+03,5.950494588143100394e-01
1.621246975088968156e+03,5.987493718963602385e-01
1.631255516014235127e+03,6.024491893217531757e-01
1.641264056939501870e+03,6.061490665063683503e-01
1.651272597864768841e+03,6.098488634741230374e-01
1.661281138790035811e+03,6.135486652266182173e-01
1.671289679715302555e+03,6.172483682303472330e-01
1.681298220640569525e+03,6.209480364265098640e-01
1.691306761565836496e+03,6.246476535193178359e-01
1.701315302491103239e+03,6.283472144824234773e-01
1.711323843416370210e+03,6.320466537242928062e-01
1.721332384341637180e+03,6.357460608062281970e-01
1.731340925266904151e+03,6.394453730280246218e-01
1.741349466192170894e+03,6.431446480860861792e-01
1.751358007117437865e+03,6.468438239119397304e-01
1.761366548042704835e+03,6.505430467316016818e-01
1.771375088967971578e+03,6.542421261743088801e-01
1.781383629893238549e+03,6.579412227026486537e-01
1.791392170818505519e+03,6.616402113297924492e-01
1.801400711743772490e+03,6.653390283244784431e-01
1.811409252669039233e+03,6.690377780849829925e-01
1.821417793594306204e+03,6.727365311759349042e-01
1.831426334519573174e+03,6.764352234103507833e-01
1.841434875444839918e+03,6.801338148604147982e-01
1.851443416370106888e+03,6.838324024886424102e-01
1.861451957295373859e+03,6.875308899535115259e-01
1.871460498220640829e+03,6.912293160892777344e-01
1.881469039145907573e+03,6.949277761667440600e-01
1.891477580071174543e+03,6.986260066777618682e-01
1.901486120996441514e+03,7.023242202770422216e-01
1.911494661921708257e+03,7.060223605886816189e-01
1.921503202846975228e+03,7.097204344709401314e-01
1.931511743772242198e+03,7.134184166130856930e-01
1.941520284697509169e+03,7.171163536153188911e-01
1.951528825622775912e+03,7.208143244135497563e-01
1.961537366548042883e+03,7.245121542599209929e-01
1.971545907473309853e+03,7.282099682623857095e-01
1.981554448398576596e+03,7.319075900900469112e-01
1.991562989323843567e+03,7.356050723084294196e-01
2.001571530249110538e+03,7.393025228516948433e-01
2.011580071174377508e+03,7.429999281239219044e-01
2.021588612099644251e+03,7.466973645688121941e-01
2.031597153024911222e+03,7.503946981817383177e-01
2.041605693950178193e+03,7.540919795890044242e-01
2.051614234875444708e+03,7.577890760895630295e-01
2.061622775800711679e+03,7.614859774667800396e-01
2.071631316725978650e+03,7.651827809981582851e-01
2.081639857651245620e+03,7.688794286070926853e-01
2.091648398576512591e+03,7.725760883349541697e-01
2.101656939501779561e+03,7.762727201859528359e-01
2.111665480427046532e+03,7.799692608295190066e-01
2.121674021352313503e+03,7.836656282272805862e-01
2.131682562277580473e+03,7.873617164527328960e-01
2.141691103202847444e+03,7.910576281893605399e-01
2.151699644128113960e+03,7.947534119143305764e-01
2.161708185053380930e+03,7.984491974085363708e-01
2.171716725978647901e+03,8.021449801596554074e-01
2.181725266903914871e+03,8.058407794410378244e-01
2.191733807829181387e+03,8.095366743020079303e-01
2.201742348754448358e+03,8.132323259867475507e-01
2.211750889679715328e+03,8.169278521448721797e-01
2.221759430604982299e+03,8.206232424373344214e-01
2.231767971530249270e+03,8.243185964407641064e-01
2.241776512455516240e+03,8.280140711007993870e-01
2.251785053380783211e+03,8.317095804513421342e-01
2.261793594306050181e+03,8.354050586557374425e-01
2.271802135231317152e+03,8.391004836918174448e-01
2.281810676156583668e+03,8.427957631945036665e-01
2.291819217081850638e+03,8.464909255698968016e-01
2.301827758007117609e+03,8.501857934056055166e-01
2.311836298932384580e+03,8.538806477961872199e-01
2.321844839857651550e+03,8.575754198482771207e-01
2.331853380782918521e+03,8.612701713789967517e-01
2.341861921708185037e+03,8.649648121340959284e-01
2.351870462633452007e+03,8.686593567200333599e-01
2.361879003558718978e+03,8.723538382656054191e-01
2.371887544483985948e+03,8.760482298532629164e-01
2.381896085409252919e+03,8.797424310327162100e-01
2.391904626334519889e+03,8.834364241687266972e-01
2.401913167259786860e+03,8.871301490444510884e-01
2.411921708185053376e+03,8.908237523685574866e-01
2.421930249110320347e+03,8.945172450036221745e-01
2.431938790035587317e+03,8.982108864811717552e-01
2.441947330960854288e+03,9.019044144545199648e-01
2.451955871886121258e+03,9.055979033085463925e-01
2.461964412811388229e+03,9.092909610479803506e-01
2.471972953736655199e+03,9.129837829581974873e-01
2.481981494661921715e+03,9.166762899839467904e-01
2.491990035587188686e+03,9.203686979940148838e-01
2.501998576512455656e+03,9.240611585142833873e-01
2.512007117437722627e+03,9.277536835305492113e-01
2.522015658362989598e+03,9.314462010131409064e-01
2.532024199288256568e+03,9.351385500635688297e-01
2.542032740213523539e+03,9.388303948538886390e-01
2.552041281138790055e+03,9.425220406714397425e-01
2.562049822064057025e+03,9.462134910511248442e-01
2.572058362989323996e+03,9.499049461874341516e-01
2.582066903914590966e+03,9.535963847360707790e-01
2.592075444839857937e+03,9.572878648790961176e-01
2.602083985765124908e+03,9.609791968246607086e-01
2.612092526690391878e+03,9.646702227041322741e-01
2.622101067615658394e+03,9.683609950565605917e-01
2.632109608540925365e+03,9.720514332341392283e-01
2.642118149466192335e+03,9.757417916676770497e-01
2.652126690391459306e+03,9.794320790047221781e-01
2.662135231316726276e+03,9.831222710630500572e-01
2.672143772241993247e+03,9.868122897103402957e-01
2.682152313167260218e+03,9.905022246483420334e-01
2.692160854092526733e+03,9.941918657639409185e-01
2.702169395017793704e+03,9.978812389738135336e-01
2.712177935943060675e+03,1.001570318299707552e+00
2.722186476868327645e+03,1.005259386917928044e+00
2.732195017793594616e+03,1.008948153437411621e+00
2.742203558718861586e+03,1.012636919402811086e+00
2.752212099644128557e+03,1.016325423237912862e+00
2.762220640569395073e+03,1.020013731789919387e+00
2.772229181494662043e+03,1.023701807308321055e+00
2.782237722419929014e+03,1.027389632355237392e+00
2.792246263345195985e+03,1.031077240372221482e+00
2.802254804270462955e+03,1.034764618073341857e+00
2.812263345195729926e+03,1.038451786743858962e+00
2.822271886120996896e+03,1.042138885210166288e+00
2.832280427046263412e+03,1.045825545179548177e+00
